"presenca" "NM_MUNICIP" "lat" "lon"
"387" "Absent" "BELO VALE" -20.4475 -44.1147
"388" "Present" "BELO VALE" -20.39944 -44.1142
"389" "Present" "MATOZINHOS" -19.59778 -44.11361
"390" "Absent" "BELO VALE" -20.38917 -44.1125
"391" "Absent" "BELO VALE" -20.35633 -44.1122
"392" "Absent" "CAPIM BRANCO" -19.52694 -44.11167
"393" "Present" "BELO VALE" -20.40378 -44.1113
"394" "Present" "BELO VALE" -20.41278 -44.1111
"395" "Absent" "BELO VALE" -20.47319 -44.1111
"396" "Present" "BELO VALE" -20.50637 -44.1101
"397" "Present" "BELO VALE" -20.43839 -44.109
"398" "Absent" "MATOZINHOS" -19.56167 -44.10889
"399" "Absent" "CAPIM BRANCO" -19.57167 -44.10861
"400" "Absent" "BELO VALE" -20.42833 -44.1086
"401" "Absent" "CAPIM BRANCO" -19.55833 -44.10694
"402" "Absent" "MATOZINHOS" -19.56092 -44.10611
"403" "Absent" "MATOZINHOS" -19.52936 -44.10556
"404" "Present" "MATOZINHOS" -19.53017 -44.10472
"405" "Present" "BELO VALE" -20.3903 -44.1044
"406" "Absent" "MATOZINHOS" -19.5325 -44.10417
"407" "Absent" "BELO VALE" -20.37581 -44.104
"408" "Present" "BELO VALE" -20.45611 -44.1039
"409" "Absent" "BELO VALE" -20.3756 -44.1039
"410" "Absent" "PEDRO LEOPOLDO" -19.62419 -44.10389
"411" "Absent" "MATOZINHOS" -19.60783 -44.10333
"412" "Present" "BELO VALE" -20.43111 -44.1033
"413" "Absent" "MATOZINHOS" -19.55808 -44.10306
"414" "Absent" "BELO VALE" -20.40614 -44.1028
"415" "Absent" "PEDRO LEOPOLDO" -19.66586 -44.1025
"416" "Absent" "BELO VALE" -20.30722 -44.1019
"417" "Absent" "MATOZINHOS" -19.59006 -44.10056
"418" "Present" "BELO VALE" -20.42194 -44.0992
"419" "Present" "BELO VALE" -20.41392 -44.0986
"420" "Present" "MATOZINHOS" -19.58278 -44.09833
"421" "Absent" "BELO VALE" -20.32136 -44.0978
"422" "Present" "MATOZINHOS" -19.56114 -44.0975
"423" "Absent" "MATOZINHOS" -19.55378 -44.09694
"424" "Absent" "BELO VALE" -20.48 -44.0967
"425" "Absent" "BELO VALE" -20.4372 -44.0967
"426" "Present" "BELO VALE" -20.41167 -44.0961
"427" "Present" "MATOZINHOS" -19.60394 -44.09583
"428" "Present" "BELO VALE" -20.42933 -44.0945
"429" "Absent" "BELO VALE" -20.4219 -44.0942
"430" "Absent" "MATOZINHOS" -19.53661 -44.09417
"431" "Present" "BELO VALE" -20.41142 -44.0936
"432" "Absent" "BELO VALE" -20.3306 -44.0931
"433" "Present" "BELO VALE" -20.4772 -44.0928
"434" "Absent" "MATOZINHOS" -19.52278 -44.09278
